host_time_iso,host_time_unix_ns,sample_index,record_type,ir1,ir2,ir3,ir4,ir1_repeat,ir2_repeat,ir3_repeat,ir4_repeat,red1,red2,red3,red4,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,reserved,heart_rate,debug
2026-05-18T07:28:39.768+00:00,1779089319769447000,1,R,7821,10699,9307,12005,7821,10699,9307,12005,22322,25837,24441,24870,-111,-226,8,-0.435294,-0.886275,0.031373,0,66,f00
2026-05-18T07:28:39.769+00:00,1779089319769622000,2,R,7819,10698,9307,12006,7819,10698,9307,12006,22321,25838,24443,24871,-111,-226,11,-0.435294,-0.886275,0.043137,0,66,000
2026-05-18T07:28:39.769+00:00,1779089319769662000,3,R,7819,10698,9306,12006,7819,10698,9306,12006,22320,25833,24443,24871,-112,-226,12,-0.439216,-0.886275,0.047059,0,66,100
2026-05-18T07:28:39.769+00:00,1779089319769690000,4,R,7818,10700,9304,12005,7818,10700,9304,12005,22322,25838,24447,24874,-114,-227,12,-0.447059,-0.890196,0.047059,0,66,200
2026-05-18T07:28:39.769+00:00,1779089319769713000,5,R,7824,10702,9313,12007,7824,10702,9313,12007,22322,25832,24449,24874,-116,-227,15,-0.454902,-0.890196,0.058824,0,66,300
2026-05-18T07:28:39.769+00:00,1779089319769736000,6,R,7819,10706,9304,12007,7819,10706,9304,12007,22326,25833,24459,24877,-118,-226,15,-0.462745,-0.886275,0.058824,0,66,400
2026-05-18T07:28:40.069+00:00,1779089320069272000,7,R,7821,10706,9305,12009,7821,10706,9305,12009,22324,25837,24456,24872,-120,-225,13,-0.470588,-0.882353,0.05098,0,66,500
2026-05-18T07:28:40.069+00:00,1779089320069496000,8,R,7820,10705,9306,12009,7820,10705,9306,12009,22325,25836,24459,24881,-119,-225,12,-0.466667,-0.882353,0.047059,0,66,600
2026-05-18T07:28:40.069+00:00,1779089320069593000,9,R,7818,10709,9307,12012,7818,10709,9307,12012,22328,25835,24461,24877,-119,-225,11,-0.466667,-0.882353,0.043137,0,66,700
2026-05-18T07:28:40.069+00:00,1779089320069665000,10,R,7821,10710,9308,12010,7821,10710,9308,12010,22326,25840,24461,24877,-119,-224,12,-0.466667,-0.878431,0.047059,0,66,800
2026-05-18T07:28:40.069+00:00,1779089320069747000,11,R,7822,10710,9308,12013,7822,10710,9308,12013,22332,25840,24461,24879,-121,-224,12,-0.47451,-0.878431,0.047059,0,66,900
2026-05-18T07:28:40.075+00:00,1779089320075853000,12,R,7824,10713,9309,12016,7824,10713,9309,12016,22333,25846,24466,24880,-121,-224,13,-0.47451,-0.878431,0.05098,0,66,a00
2026-05-18T07:28:40.075+00:00,1779089320075932000,13,R,7825,10715,9311,12015,7825,10715,9311,12015,22334,25848,24465,24878,-124,-224,14,-0.486275,-0.878431,0.054902,0,66,b00
2026-05-18T07:28:40.075+00:00,1779089320075970000,14,R,7827,10714,9313,12017,7827,10714,9313,12017,22339,25853,24468,24882,-123,-223,14,-0.482353,-0.87451,0.054902,0,66,c00
2026-05-18T07:28:40.076+00:00,1779089320076005000,15,R,7829,10714,9315,12015,7829,10714,9315,12015,22339,25850,24469,24883,-123,-221,13,-0.482353,-0.866667,0.05098,0,66,d00
2026-05-18T07:28:40.076+00:00,1779089320076039000,16,R,7827,10711,9314,12016,7827,10711,9314,12016,22341,25857,24471,24885,-123,-221,11,-0.482353,-0.866667,0.043137,0,66,e00
2026-05-18T07:28:40.374+00:00,1779089320374125000,17,R,7824,10706,9310,12008,7824,10706,9310,12008,22342,25855,24468,24884,-123,-222,11,-0.482353,-0.870588,0.043137,0,66,f00
2026-05-18T07:28:40.374+00:00,1779089320374287000,18,R,7824,10705,9313,12009,7824,10705,9313,12009,22336,25854,24461,24879,-124,-223,11,-0.486275,-0.87451,0.043137,0,66,000
2026-05-18T07:28:40.374+00:00,1779089320374365000,19,R,7822,10700,9310,12000,7822,10700,9310,12000,22334,25849,24451,24870,-125,-224,12,-0.490196,-0.878431,0.047059,0,66,100
2026-05-18T07:28:40.374+00:00,1779089320374432000,20,R,7819,10695,9308,11996,7819,10695,9308,11996,22330,25849,24448,24864,-126,-223,12,-0.494118,-0.87451,0.047059,0,66,200
2026-05-18T07:28:40.374+00:00,1779089320374506000,21,R,7817,10691,9305,11990,7817,10691,9305,11990,22332,25849,24445,24856,-126,-222,11,-0.494118,-0.870588,0.043137,0,66,300
2026-05-18T07:28:40.672+00:00,1779089320672373000,22,R,7818,10690,9305,11991,7818,10690,9305,11991,22327,25844,24444,24856,-126,-222,12,-0.494118,-0.870588,0.047059,0,66,400
2026-05-18T07:28:40.672+00:00,1779089320672510000,23,R,7818,10689,9305,11985,7818,10689,9305,11985,22328,25845,24443,24853,-125,-220,12,-0.490196,-0.862745,0.047059,0,66,500
