host_time_iso,host_time_unix_ns,sample_index,record_type,ir1,ir2,ir3,ir4,ir1_repeat,ir2_repeat,ir3_repeat,ir4_repeat,red1,red2,red3,red4,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,reserved,heart_rate,debug
2026-05-22T02:37:45.500+00:00,1779417465501939000,1,R,7482,7763,8994,10194,7482,7763,8994,10194,19095,23410,18433,22074,-126,-219,-15,-0.494118,-0.858824,-0.058824,1,255,e00
2026-05-22T02:37:45.502+00:00,1779417465502210000,2,R,7485,7765,8991,10194,7485,7765,8991,10194,19095,23405,18432,22079,-128,-220,-16,-0.501961,-0.862745,-0.062745,1,255,f00
2026-05-22T02:37:45.502+00:00,1779417465502346000,3,R,7487,7765,8992,10196,7487,7765,8992,10196,19098,23403,18431,22079,-127,-221,-16,-0.498039,-0.866667,-0.062745,1,255,000
2026-05-22T02:37:45.502+00:00,1779417465502410000,4,R,7486,7766,8991,10195,7486,7766,8991,10195,19097,23400,18429,22078,-125,-222,-17,-0.490196,-0.870588,-0.066667,1,255,100
2026-05-22T02:37:45.502+00:00,1779417465502452000,5,R,7485,7761,8989,10194,7485,7761,8989,10194,19093,23401,18426,22081,-126,-223,-16,-0.494118,-0.87451,-0.062745,1,255,200
2026-05-22T02:37:45.502+00:00,1779417465502491000,6,R,7487,7761,8991,10195,7487,7761,8991,10195,19098,23399,18428,22082,-125,-225,-18,-0.490196,-0.882353,-0.070588,1,255,300
2026-05-22T02:37:45.650+00:00,1779417465650815000,7,R,7486,7759,8991,10195,7486,7759,8991,10195,19101,23403,18421,22082,-127,-224,-17,-0.498039,-0.878431,-0.066667,1,255,400
2026-05-22T02:37:45.650+00:00,1779417465650971000,8,R,7484,7758,8992,10193,7484,7758,8992,10193,19096,23403,18416,22086,-126,-223,-18,-0.494118,-0.87451,-0.070588,1,255,500
2026-05-22T02:37:45.651+00:00,1779417465651060000,9,R,7488,7757,8993,10197,7488,7757,8993,10197,19097,23403,18417,22082,-128,-218,-18,-0.501961,-0.854902,-0.070588,1,255,600
2026-05-22T02:37:45.651+00:00,1779417465651133000,10,R,7491,7757,8992,10195,7491,7757,8992,10195,19095,23407,18416,22084,-129,-219,-17,-0.505882,-0.858824,-0.066667,1,255,700
2026-05-22T02:37:45.651+00:00,1779417465651199000,11,R,7490,7757,8994,10198,7490,7757,8994,10198,19097,23407,18412,22084,-131,-221,-16,-0.513725,-0.866667,-0.062745,1,255,800
2026-05-22T02:37:45.800+00:00,1779417465800848000,12,R,7495,7759,8996,10196,7495,7759,8996,10196,19102,23404,18416,22086,-131,-219,-16,-0.513725,-0.858824,-0.062745,1,255,900
2026-05-22T02:37:45.800+00:00,1779417465800991000,13,R,7496,7758,8999,10200,7496,7758,8999,10200,19111,23405,18415,22094,-131,-220,-16,-0.513725,-0.862745,-0.062745,1,255,a00
2026-05-22T02:37:45.801+00:00,1779417465801067000,14,R,7499,7756,9001,10204,7499,7756,9001,10204,19112,23409,18412,22096,-129,-220,-17,-0.505882,-0.862745,-0.066667,1,255,b00
2026-05-22T02:37:45.801+00:00,1779417465801134000,15,R,7501,7754,9000,10205,7501,7754,9000,10205,19116,23407,18410,22097,-126,-221,-16,-0.494118,-0.866667,-0.062745,1,255,c00
2026-05-22T02:37:45.801+00:00,1779417465801199000,16,R,7505,7757,9000,10207,7505,7757,9000,10207,19121,23413,18408,22100,-127,-218,-17,-0.498039,-0.854902,-0.066667,1,255,d00
2026-05-22T02:37:45.949+00:00,1779417465949367000,17,R,7511,7756,9010,10208,7511,7756,9010,10208,19123,23414,18409,22107,-130,-219,-16,-0.509804,-0.858824,-0.062745,1,255,e00
2026-05-22T02:37:45.949+00:00,1779417465949500000,18,R,7508,7759,9003,10209,7508,7759,9003,10209,19127,23414,18411,22103,-129,-220,-17,-0.505882,-0.862745,-0.066667,1,255,f00
2026-05-22T02:37:45.949+00:00,1779417465949578000,19,R,7511,7758,9006,10211,7511,7758,9006,10211,19130,23417,18406,22103,-130,-222,-16,-0.509804,-0.870588,-0.062745,1,255,000
2026-05-22T02:37:45.949+00:00,1779417465949646000,20,R,7513,7760,9007,10213,7513,7760,9007,10213,19130,23423,18412,22109,-131,-221,-16,-0.513725,-0.866667,-0.062745,1,255,100
2026-05-22T02:37:45.949+00:00,1779417465949709000,21,R,7512,7760,9011,10212,7512,7760,9011,10212,19135,23423,18415,22110,-131,-220,-14,-0.513725,-0.862745,-0.054902,1,255,200
2026-05-22T02:37:45.949+00:00,1779417465949773000,22,R,7513,7758,9012,10217,7513,7758,9012,10217,19137,23424,18413,22111,-131,-219,-13,-0.513725,-0.858824,-0.05098,1,255,300
2026-05-22T02:37:46.099+00:00,1779417466099527000,23,R,7514,7761,9014,10217,7514,7761,9014,10217,19138,23431,18415,22111,-130,-221,-13,-0.509804,-0.866667,-0.05098,1,255,400
2026-05-22T02:37:46.099+00:00,1779417466099662000,24,R,7515,7763,9016,10218,7515,7763,9016,10218,19137,23431,18416,22117,-130,-220,-13,-0.509804,-0.862745,-0.05098,1,255,500
2026-05-22T02:37:46.099+00:00,1779417466099734000,25,R,7518,7763,9016,10218,7518,7763,9016,10218,19143,23436,18419,22115,-129,-220,-14,-0.505882,-0.862745,-0.054902,1,255,600
2026-05-22T02:37:46.099+00:00,1779417466099805000,26,R,7518,7764,9019,10221,7518,7764,9019,10221,19143,23440,18412,22117,-127,-221,-15,-0.498039,-0.866667,-0.058824,1,255,700
2026-05-22T02:37:46.099+00:00,1779417466099871000,27,R,7520,7766,9020,10224,7520,7766,9020,10224,19146,23443,18415,22121,-125,-222,-16,-0.490196,-0.870588,-0.062745,1,255,800
2026-05-22T02:37:46.249+00:00,1779417466249288000,28,R,7522,7764,9023,10227,7522,7764,9023,10227,19141,23445,18413,22124,-124,-222,-16,-0.486275,-0.870588,-0.062745,1,255,900
2026-05-22T02:37:46.249+00:00,1779417466249414000,29,R,7524,7764,9022,10225,7524,7764,9022,10225,19150,23446,18415,22123,-124,-222,-15,-0.486275,-0.870588,-0.058824,1,255,a00
