host_time_iso,host_time_unix_ns,sample_index,record_type,ir1,ir2,ir3,ir4,ir1_repeat,ir2_repeat,ir3_repeat,ir4_repeat,red1,red2,red3,red4,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,reserved,heart_rate,debug,host_time,elapsed_s_host,elapsed_s_sample,elapsed_s,ir_mean,red_mean,ir_ac_pct,red_ac_pct,accel_mag_g,accel_dynamic_g
2026-05-22T02:37:45.500+00:00,1779417465501939000,1,R,7482,7763,8994,10194,7482,7763,8994,10194,19095,23410,18433,22074,-126,-219,-15,-0.494118,-0.858824,-0.058824,1,255,e00,2026-05-22 02:37:45.500000+00:00,0.0,0.0,0.0,8608.25,20753.0,-0.10444167222721866,-0.03612629753618651,0.992568145708898,-0.00906040947161424
2026-05-22T02:37:45.502+00:00,1779417465502210000,2,R,7485,7765,8991,10194,7485,7765,8991,10194,19095,23405,18432,22079,-128,-220,-16,-0.501961,-0.862745,-0.062745,1,255,f00,2026-05-22 02:37:45.502000+00:00,0.002,0.03333333333333333,0.002,8608.75,20752.75,-0.11312873469861345,-0.043950751076191334,1.000115351132558,-0.0014711974140182438
2026-05-22T02:37:45.502+00:00,1779417465502346000,3,R,7487,7765,8992,10196,7487,7765,8992,10196,19098,23403,18431,22079,-127,-221,-16,-0.498039,-0.866667,-0.062745,1,255,000,2026-05-22 02:37:45.502000+00:00,0.002,0.06666666666666667,0.002,8610.0,20752.75,-0.11311232924388759,-0.05057011787653667,1.00154454191264,-8.401326787210728e-05
2026-05-22T02:37:45.502+00:00,1779417465502410000,4,R,7486,7766,8991,10195,7486,7766,8991,10195,19097,23400,18429,22078,-125,-222,-17,-0.490196,-0.870588,-0.066667,1,255,100,2026-05-22 02:37:45.502000+00:00,0.002,0.1,0.002,8609.5,20751.0,-0.12760280726175977,-0.06020179642160522,1.001329153200385,-0.0004107166500890713
2026-05-22T02:37:45.502+00:00,1779417465502452000,5,R,7485,7761,8989,10194,7485,7761,8989,10194,19093,23401,18426,22081,-126,-223,-16,-0.494118,-0.87451,-0.062745,1,255,200,2026-05-22 02:37:45.502000+00:00,0.002,0.13333333333333333,0.002,8607.25,20750.25,-0.1623894446860954,-0.06501715730540003,1.0064081046220763,0.00455692010164066
2026-05-22T02:37:45.502+00:00,1779417465502491000,6,R,7487,7761,8991,10195,7487,7761,8991,10195,19098,23399,18428,22082,-125,-225,-18,-0.490196,-0.882353,-0.070588,1,255,300,2026-05-22 02:37:45.502000+00:00,0.002,0.16666666666666666,0.002,8608.5,20751.75,-0.1493381276188543,-0.058394687889423334,1.0118406993044904,0.010100829454016358
2026-05-22T02:37:45.650+00:00,1779417465650815000,7,R,7486,7759,8991,10195,7486,7759,8991,10195,19101,23403,18421,22082,-127,-224,-17,-0.498039,-0.878431,-0.066667,1,255,400,2026-05-22 02:37:45.650000+00:00,0.15,0.2,0.15,8607.75,20751.75,-0.15948500840920954,-0.05899633981891736,1.0119922708059583,0.010141086285522682
2026-05-22T02:37:45.650+00:00,1779417465650971000,8,R,7484,7758,8992,10193,7484,7758,8992,10193,19096,23403,18416,22086,-126,-223,-18,-0.494118,-0.87451,-0.070588,1,255,500,2026-05-22 02:37:45.650000+00:00,0.15,0.23333333333333334,0.15,8606.75,20750.25,-0.18121457255106627,-0.0770480948654668,1.0069275067093957,0.0051876368589216515
2026-05-22T02:37:45.651+00:00,1779417465651060000,9,R,7488,7757,8993,10197,7488,7757,8993,10197,19097,23403,18417,22082,-128,-218,-18,-0.501961,-0.854902,-0.070588,1,255,600,2026-05-22 02:37:45.651000+00:00,0.151,0.26666666666666666,0.151,8608.75,20749.75,-0.1681500594323486,-0.09028095432987457,0.993883766277023,-0.007744788903489175
2026-05-22T02:37:45.651+00:00,1779417465651133000,10,R,7491,7757,8992,10195,7491,7757,8992,10195,19095,23407,18416,22084,-129,-219,-17,-0.505882,-0.858824,-0.066667,1,255,700,2026-05-22 02:37:45.651000+00:00,0.151,0.3,0.151,8608.75,20750.5,-0.1710442395778976,-0.0920815854884236,0.9989693437683661,-0.0026592114121460897
